identifier	url	stars	pushed	source
benjamingr/js-exercise-weather		1	2020-08-30T11:43:01Z	github
yoavram/shmuliksim.co.il		0	2016-01-28T17:37:13Z	github
yoavram/saptalea		0	2016-02-22T13:04:25Z	github
urish/devfestil-site	http://www.gdg.co.il	0	2013-11-11T00:03:16Z	github
yoavram/PyConIL2016		10	2019-02-06T09:45:44Z	github
Es-Mes/react-hebrew-datepicker	https://github.com/Es-Mes/react-hebrew-datepicker#readme	0		npm
lirantal/create-node-lib	https://github.com/lirantal/create-node-lib	0		npm
hebcal/hebcal-mcp	https://github.com/hebcal/hebcal-mcp#readme	0		npm
SidVerson/base-vue-phone-inpu	https://github.com/SidVerson/base-vue-phone-input#readme	0		npm
winglang/win	https://github.com/winglang/wing#readme	0		npm
null4bl3/awesome-banner	https://github.com/null4bl3/awesome-banner#readme	0		npm
bedlaj/openfonts/tree/master/packages/amatic-sc_hebrew		0		npm
itairaz1/israeli-bank-firefly-importer	https://github.com/itairaz1/israeli-bank-firefly-importer#readme	0		npm
bedlaj/openfonts/tree/master/packages/varela-round_hebrew		0		npm
stas7341/service-lib	https://github.com/stas7341/service-lib#readme	0		npm
IsraelTw/israel-test-npm	https://github.com/IsraelTw/israel-test-npm#readme	0		npm
juju-sunrise/ngx-intl-tel-inpu	https://github.com/juju-sunrise/ngx-intl-tel-input#readme	0		npm
eshaham/israeli-bank-scrapers	https://github.com/eshaham/israeli-bank-scrapers#readme	0		npm
ibm/plex	https://github.com/ibm/plex#readme	0		npm
chaimfn/gimatria	https://github.com/chaimfn/gimatria#readme	0		npm
wooorm/dictionaries.git#main	https://github.com/wooorm/dictionaries/tree/main#readme	0		npm
omarluq/stimulus-store	https://github.com/omarluq/stimulus-store#readme	0		npm
tupe12334/eslint-config-agen	https://github.com/tupe12334/eslint-config-agent#readme	0		npm
hodgepodgers/ng-intl-tel-inpu	http://hodgepodgers.github.io/ng-intl-tel-input	0		npm
juanjotorres90/ngx-material-intl-tel-inpu	https://github.com/juanjotorres90/ngx-material-intl-tel-input#readme	0		npm
git://github.com/unicode-cldr/cldr-json	https://cldr.unicode.org	0		npm
bedlaj/openfonts/tree/master/packages/frank-ruhl-libre_hebrew		0		npm
Ringer/aesthetic-rewrite	https://github.com/Ringer/aesthetic-rewrite#readme	0		npm
vocweb/svg-country-maps/tree/master/packages/israel		0		npm
JavaTMP/bootstrap-reverse	https://github.com/JavaTMP/bootstrap-reverse#readme	0		npm
fws-solutions/fws-geo-location-reac	https://github.com/fws-solutions/fws-geo-location-react#readme	0		npm
ak-il/ra-language-hebrew	https://github.com/ak-il/ra-language-hebrew#readme	0		npm
charlesLoder/havarotjs	https://github.com/charlesLoder/havarotjs	0		npm
ssh://git@github.com/adamatan/telofun	https://github.com/adamatan/telofun#readme	0		npm
smartive/datocms-utils	https://github.com/smartive/datocms-utils#readme	0		npm
bitcoinil/btcil	https://github.com/bitcoinil/btcil#readme	0		npm
git://gal-m/homebridge-missiles-aler		0		npm
fatorius/web-quoted-printable-decoder	https://github.com/fatorius/web-quoted-printable-decoder#readme	0		npm
fontsource/font-files	https://fontsource.org/fonts/ibm-plex-sans-hebrew	0		npm
jackocnr/intl-tel-inpu	https://intl-tel-input.com/docs/react-component	0		npm
toozuuu/ngxsmk-tel-inpu	https://github.com/toozuuu/ngxsmk-tel-input#readme	0		npm
delivery-solutions/ngx-intl-tel-inpu	https://github.com/delivery-solutions/ngx-intl-tel-input#readme	0		npm
bedlaj/openfonts/tree/master/packages/alef_hebrew		0		npm
FIRSTIsrael/prettier-conf	https://github.com/FIRSTIsrael/prettier-config#readme	0		npm
openscriptures/strongs	https://github.com/openscriptures/strongs#readme	0		npm
hebcal/hebcal-icalendar	https://hebcal.github.io/api/icalendar/	0		npm
relbns/hebrew-markdown-reac	https://github.com/relbns/hebrew-markdown-react#readme	0		npm
stas7341/iq-lib	https://github.com/stas7341/iq-lib#readme	0		npm
yaircohendev/heb-dates-helper	https://github.com/yaircohendev/heb-dates-helper#readme	0		npm
bedlaj/openfonts/tree/master/packages/arimo_hebrew		0		npm
ddos-devs/hebrewMan	https://github.com/ddos-devs/hebrewMan#readme	0		npm
yehuthi/hebrew.js	https://github.com/yehuthi/hebrew.js#readme	0		npm
alumag/hebrew-names-js	https://github.com/alumag/hebrew-names-js#readme	0		npm
mareczek/international-phone-number	https://github.com/mareczek/international-phone-number#readme	0		npm
ElishaMayer/israeli-bank-autocomplete	https://github.com/ElishaMayer/israeli-bank-autocomplete#readme	0		npm
bedlaj/openfonts/tree/master/packages/david-libre_hebrew		0		npm
bendanziger/react-pdf-rtl	https://github.com/bendanziger/react-pdf-rtl#readme	0		npm
syncfusion/ej2-locale	https://github.com/syncfusion/ej2-locale#readme	0		npm
lamansky/hebrew	https://github.com/lamansky/hebrew#readme	0		npm
streetsidesoftware/cspell-dicts	https://github.com/streetsidesoftware/cspell-dicts/blob/main/dictionaries/he#readme	0		npm
AdamTroya/hebrew-package	https://github.com/AdamTroya/hebrew-package#readme	0		npm
bedlaj/openfonts/tree/master/packages/m-plus-rounded-1c_hebrew		0		npm
themiddleframe/material-ui-phone-number	https://github.com/themiddleframe/material-ui-phone-number	0		npm
ofershap/hebrew-slugify	https://github.com/ofershap/hebrew-slugify#readme	0		npm
charlesLoder/hebrew-transliteration	https://github.com/charlesLoder/hebrew-transliteration	0		npm
Shmulik-Kravitz/jewish-date	https://github.com/Shmulik-Kravitz/jewish-date#readme	0		npm
bedlaj/openfonts/tree/master/packages/tinos_hebrew		0		npm
lingobus/int-tel-inpu	https://github.com/lingobus/int-tel-input#readme	0		npm
sysmesh/hebrew-token-saver	https://github.com/sysmesh/hebrew-token-saver#readme	0		npm
bedlaj/openfonts/tree/master/packages/rubik_hebrew		0		npm
bedlaj/openfonts/tree/master/packages/m-plus-1p_hebrew		0		npm
victorybiz/vue3-tel-inpu	https://github.com/victorybiz/vue3-tel-input	0		npm
metaxiamultimedia/scriptures-js-source-stepbible-lexicon	https://github.com/metaxiamultimedia/scriptures-js-source-stepbible-lexicon#readme	0		npm
wooorm/franc.git#main	https://github.com/wooorm/franc/tree/main#readme	0		npm
mpalourdio/intl-tel-input-n	https://github.com/mpalourdio/intl-tel-input-ng#readme	0		npm
VictorCazanave/svg-maps/tree/master/packages/world		0		npm
peshitta/cal-hebrew	https://github.com/peshitta/cal-hebrew#readme	0		npm
hebcal/hebcal-rest-ap	https://hebcal.github.io/api/rest-api/	0		npm
eladnava/pikud-haoref-ap	https://github.com/eladnava/pikud-haoref-api#readme	0		npm
metaxiamultimedia/scriptures-js-source-openscriptures-ohb	https://github.com/metaxiamultimedia/scriptures-js-source-openscriptures-ohb#readme	0		npm
flatlandchurch/chokhmah	https://design.flatland.church	0		npm
justin-lau/ember-intl-tel-inpu	https://github.com/justin-lau/ember-intl-tel-input#readme	0		npm
ArthurLobopro/electron-fonts	https://github.com/ArthurLobopro/electron-fonts#readme	0		npm
expo/google-fonts	https://github.com/expo/google-fonts/tree/master/font-packages/noto-rashi-hebrew#readme	0		npm
DavidOsherDevDev/israel-drugs-mcp-server	https://github.com/DavidOsherDevDev/israel-drugs-mcp-server#readme	0		npm
voidd0/fake	https://tools.voiddo.com/fakeit/	0		npm
rbalet/ngx-mat-input-tel	https://github.com/rbalet/ngx-mat-input-tel#readme	0		npm
charlesLoder/umschrif	https://github.com/charlesLoder/umschrift	0		npm
embedpdf/embed-pdf-viewer	https://www.embedpdf.com/docs	0		npm
noppa/text-security	https://github.com/noppa/text-security#readme	0		npm
shubhexists/react-maps	https://github.com/shubhexists/react-maps#readme	0		npm
bedlaj/openfonts/tree/master/packages/heebo_hebrew		0		npm
pigeonposse/ascii-k	https://docs.ascii-kit.pigeonposse.com/guide/fonts/ivrit	0		npm
ozba/redalert-mcp-server	https://github.com/ozba/redalert-mcp-server#readme	0		npm
DefinitelyTyped/DefinitelyTyped	https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/intl-tel-input	0		npm
kbwo/ccmanager	https://github.com/kbwo/ccmanager#readme	0		npm
flying-turtle-tech/ngx-intl-tel-inpu	https://github.com/flying-turtle-tech/ngx-intl-tel-input#readme	0		npm
abrahamos/he-date	https://github.com/abrahamos/he-date#readme	0		npm
ing-bank/lion	https://github.com/ing-bank/lion/	0		npm
alex-mirankov/ngx-phone-field	https://github.com/alex-mirankov/ngx-phone-field#readme	0		npm
MarkMinerov/vue-tel-num-inpu	https://markminerov.github.io/vue-tel-num-input	0		npm
IterumArchive/neo-calendar	https://github.com/IterumArchive/neo-calendar#readme	0		npm
Muneersahel/mat-tel-inpu	https://github.com/Muneersahel/mat-tel-input#readme	0		npm
bedlaj/openfonts/tree/master/packages/suez-one_hebrew		0		npm
jegesh/js-itm	https://github.com/jegesh/js-itm#readme	0		npm
git@github.com:tvaintrob/heb-names		0		npm
tanansatpal/ngx-mat-intl-tel-inpu	https://github.com/tanansatpal/ngx-mat-intl-tel-input#readme	0		npm
yogakurniawan/vue-tel-input-vuetify	https://yogakurniawan.github.io/vue-tel-input-vuetify/	0		npm
nymphaea-v1/quasar-app-extension-q-tel-inpu	https://github.com/nymphaea-v1/quasar-app-extension-q-tel-input#readme	0		npm
git://github.com/deitch/jsorm-i18n		0		npm
matantsach/talent-scou	https://github.com/matantsach/talent-scout	0		npm
git://AmitayAbudy/homebridge-RedAler		0		npm
bedlaj/openfonts/tree/master/packages/secular-one_hebrew		0		npm
abstract-cl/rut-ts	https://github.com/abstract-cl/rut-ts#readme	0		npm
peshitta/hebrew-cal	https://github.com/peshitta/hebrew-cal#readme	0		npm
iamstevendao/vue-tel-inpu	https://vue-tel-input.iamstevendao.com	0		npm
itaibaruch/ra-language-hebrew	https://github.com/itaibaruch/ra-language-hebrew#readme	0		npm
TechnologyEnhancedLearning/nhse-tel-frontend	https://technologyenhancedlearning.github.io/nhse-tel-frontend/	0		npm
tomerh2001/israeli-bank-scrapers	https://github.com/tomerh2001/israeli-bank-scrapers#readme	0		npm
zeke/href-type	https://github.com/zeke/href-type#readme	0		npm
webcat12345/ngx-intl-tel-inpu	https://github.com/webcat12345/ngx-intl-tel-input#readme	0		npm
gyurielf/svelte-tel-inpu	https://github.com/gyurielf/svelte-tel-input#readme	0		npm
https://black-trooper@github.com/black-trooper/tel-splitter-js	https://github.com/black-trooper/tel-splitter-js#readme	0		npm
ssh://git@github.com/h1dd3nsn1p3r/pdf-invoice	https://github.com/h1dd3nsn1p3r/pdf-invoice	0		npm
istarkov/rifm		0		npm
shayshahar/homebridge-iec-electricity	https://github.com/shayshahar/homebridge-iec-electricity#readme	0		npm
bedlaj/openfonts/tree/master/packages/cousine_hebrew		0		npm
vivekraman111/number-to-words	https://github.com/vivekraman111/number-to-words#readme	0		npm
borispipo/common	https://github.com/borispipo/common#readme	0		npm
git://github.com/israel-lpz/datepicker	https://github.com/israel-lpz/datepicker#readme	0		npm
gauravsoni119/ng2-tel-inpu	https://github.com/gauravsoni119/ng2-tel-input#readme	0		npm
git://github.com/stopwords-iso/stopwords-he	https://github.com/stopwords-iso/stopwords-he#readme	0		npm
motro/aor-language-hebrew	https://github.com/motro/aor-language-hebrew#readme	0		npm
hyperse-io/hero-tel-inpu	https://github.com/hyperse-io/hero-tel-input	0		npm
matrunchyk/vue3-tel-inpu	https://github.com/matrunchyk/vue3-tel-input.git	0		npm
zvizvi/ITM-to-WGS84	https://github.com/zvizvi/ITM-to-WGS84#readme	0		npm
andela-dev/ngx-intl-tel-inpu	https://github.com/andela-dev/ngx-intl-tel-input#readme	0		npm
JAGUARAVI/figlet-promises	https://github.com/JAGUARAVI/figlet-promises#readme	0		npm
enableuser/enablestack-widge	https://www.enableuser.com	0		npm
bedlaj/openfonts/tree/master/packages/bellefair_hebrew		0		npm
shout/ngx-shout-intl-tel-inpu	https://github.com/shout/ngx-shout-intl-tel-input#readme	0		npm
ssh://git@github.com/AlanF20/API-REST	https://github.com/AlanF20/API-REST#readme	0		npm
baibars313/iban-validator	https://github.com/baibars313/iban-validator#readme	0		npm
Shmulik-Kravitz/jewish-zmanim	https://github.com/Shmulik-Kravitz/jewish-zmanim	0		npm
guillermodelagala/ngx-intl-tel-inpu	https://github.com/guillermodelagala/ngx-intl-tel-input#readme	0		npm
Nachman-Libermensh/hebrew-date-utils	https://github.com/Nachman-Libermensh/hebrew-date-utils#readme	0		npm
azzamasghar1/ion-intl-tel-inpu	https://github.com/azzamasghar1/ion-intl-tel-input	0		npm
jlevot/p-intl-input-tel	https://github.com/jlevot/p-intl-input-tel#readme	0		npm
doradsoft/gematry	https://github.com/doradsoft/gematry	0		npm
git://github.com/glenjamin/tel		0		npm
dormd/countries-data	https://github.com/dormd/countries-data#readme	0		npm
ssh://git@github.com/IonicaBizau/hebrew-date	https://github.com/IonicaBizau/hebrew-date#readme	0		npm
gedeonix/hebrew	https://github.com/gedeonix/hebrew#readme	0		npm
eilonmore/linkedin-private-ap	https://github.com/eilonmore/linkedin-private-api	0		npm
VictorCazanave/svg-maps/tree/master/packages/israel		0		npm
bennymeg/IsraelPostalServiceAPI	https://bennymeg.github.io/IsraelPostalServiceAPI/	0		npm
kikobeats/parse-ur	https://github.com/Kikobeats/parse-uri	0		npm
git://github.com/tifroz/json2html		0		npm
gurelbs/ivr	https://github.com/gurelbs/ivrit#readme	0		npm
gpbl/react-day-picker	https://daypicker.dev	0		npm
YaronKoresh/secure-caesar	https://github.com/YaronKoresh/secure-caesar#readme	0		npm
lirantal/railil	https://github.com/lirantal/railil	0		npm
reuvenaor/israel-statistics-mcp	https://github.com/reuvenaor/israel-statistics-mcp#readme	0		npm
shlomoweb1/random-names-hebrew	https://github.com/shlomoweb1/random-names-hebrew	0		npm
hebcal/hdate-js	https://github.com/hebcal/hdate-js#readme	0		npm
ymichels/hebrew-english	https://github.com/ymichels/hebrew-english#readme	0		npm
idobe977/n8n-nodes-shabbat-time	https://github.com/idobe977/n8n-nodes-shabbat-time	0		npm
